学号,考生姓名,科目名称,性别,专业,年份,编程年份,国家级一等奖,国家级二等奖,国家级三等奖,国家级优秀奖,省部级一等奖,省部级二等奖,省部级三等奖,省部级优秀奖,OJ提交数,OJ正确数,OJ准确率,获奖类别
2012014351,0,0,0,0,5,0,0,0,0,0,0,0,0,0,1236,683,0.5525889967637541,0
2013014219,0,0,0,0,3,0,0,0,0,0,0,0,0,0,544,319,0.5863970588235294,0
2013014226,0,0,0,0,4,0,0,0,0,0,0,0,0,0,705,348,0.49361702127659574,0
2018170040,0,0,0,0,2,0,0,0,0,0,0,0,0,0,316,146,0.4620253164556962,0
2013014128,0,0,0,0,3,0,0,0,0,0,0,0,0,0,684,294,0.4298245614035088,0
2018040336,0,0,0,0,1,0,0,0,0,0,0,0,0,0,118,45,0.3813559322033898,0
2013014221,0,0,0,0,3,0,0,0,0,0,0,0,0,0,596,244,0.40939597315436244,0
2013014210,0,0,0,0,4,0,0,0,0,0,0,0,0,0,587,203,0.34582623509369675,0
2018040413,0,0,0,0,1,0,0,0,0,0,0,0,0,0,17,12,0.7058823529411765,0
2018040363,0,0,0,0,2,0,0,0,0,0,0,0,0,0,67,43,0.6417910447761194,0
2013014136,0,0,0,0,2,0,0,0,0,0,0,0,0,0,514,199,0.38715953307393,0
2012014302,0,0,0,0,3,0,0,0,0,0,0,0,0,0,369,209,0.5663956639566395,0
2013014146,0,0,0,0,2,0,0,0,0,0,0,0,0,0,292,230,0.7876712328767124,0
2012014366,0,0,0,0,2,0,0,0,0,0,0,0,0,0,549,229,0.41712204007285975,0
2013014153,0,0,0,0,4,0,0,0,0,0,0,0,0,0,355,205,0.5774647887323944,0
2012014390,0,0,0,0,2,0,0,0,0,0,0,0,0,0,471,226,0.47983014861995754,0
2015017001,0,0,0,0,1,0,0,0,0,0,0,0,0,0,372,230,0.6182795698924731,0
2018040528,0,0,0,0,1,0,0,0,0,0,0,0,0,0,112,52,0.4642857142857143,0
2013014127,0,0,0,0,2,0,0,0,0,0,0,0,0,0,437,189,0.43249427917620137,0
2012014374,0,0,0,0,4,0,0,0,0,0,0,0,0,0,364,198,0.5439560439560439,0
2018040501,0,0,0,0,1,0,0,0,0,0,0,0,0,0,195,92,0.4717948717948718,0
2018040513,0,0,0,0,1,0,0,0,0,0,0,0,0,0,83,41,0.4939759036144578,0
2019040462,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,2,1.0,0
2016014420,0,0,0,0,2,0,0,0,0,0,0,0,0,0,42,15,0.35714285714285715,0
2013014186,0,0,0,0,4,0,0,0,0,0,0,0,0,0,392,167,0.4260204081632653,0
2013014144,0,0,0,0,2,0,0,0,0,0,0,0,0,0,307,163,0.5309446254071661,0
2018040391,0,0,0,0,2,0,0,0,0,0,0,0,0,0,74,30,0.40540540540540543,0
2016014302,0,0,0,0,2,0,0,0,0,0,0,0,0,0,198,106,0.5353535353535354,0
2014014323,0,0,0,0,2,0,0,0,0,0,0,0,0,0,279,126,0.45161290322580644,0
2014014306,0,0,0,0,4,0,0,0,0,0,0,0,0,0,378,152,0.4021164021164021,0
2016014343,0,0,0,0,2,0,0,0,0,0,0,0,0,0,176,72,0.4090909090909091,0
2013014124,0,0,0,0,3,0,0,0,0,0,0,0,0,0,510,225,0.4411764705882353,0
2018040466,0,0,0,0,2,0,0,0,0,0,0,0,0,0,99,54,0.5454545454545454,0
2014014364,0,0,0,0,2,0,0,0,0,0,0,0,0,0,646,178,0.2755417956656347,0
2018040397,0,0,0,0,2,0,0,0,0,0,0,0,0,0,69,29,0.42028985507246375,0
2018040469,0,0,0,0,1,0,0,0,0,0,0,0,0,0,17,7,0.4117647058823529,0
2013014181,0,0,0,0,2,0,0,0,0,0,0,0,0,0,310,166,0.535483870967742,0
2013014094,0,0,0,0,2,0,0,0,0,0,0,0,0,0,284,146,0.5140845070422535,0
2013014170,0,0,0,0,4,0,0,0,0,0,0,0,0,0,212,128,0.6037735849056604,0
2013014139,0,0,0,0,3,0,0,0,0,0,0,0,0,0,434,180,0.4147465437788018,0
2014014308,0,0,0,0,4,0,0,0,0,0,0,0,0,0,227,105,0.46255506607929514,0
2018040499,0,0,0,0,1,0,0,0,0,0,0,0,0,0,126,61,0.48412698412698413,0
2013014173,0,0,0,0,4,0,0,0,0,0,0,0,0,0,225,132,0.5866666666666667,0
2018040502,0,0,0,0,1,0,0,0,0,0,0,0,0,0,114,66,0.5789473684210527,0
2012014362,0,0,0,0,2,0,0,0,0,0,0,0,0,0,316,168,0.5316455696202531,0
2017040367,0,0,0,0,2,0,0,0,0,0,0,0,0,0,39,11,0.28205128205128205,0
2013014105,0,0,0,0,2,0,0,0,0,0,0,0,0,0,245,114,0.46530612244897956,0
2018040534,0,0,0,0,1,0,0,0,0,0,0,0,0,0,150,61,0.4066666666666667,0
2015014900,0,0,0,0,4,0,0,0,0,0,0,0,0,0,452,199,0.44026548672566373,0
2013014212,0,0,0,0,4,0,0,0,0,0,0,0,0,0,159,107,0.6729559748427673,0
2018040422,0,0,0,0,1,0,0,0,0,0,0,0,0,0,24,14,0.5833333333333334,0
2015014357,0,0,0,0,1,0,0,0,0,0,0,0,0,0,170,82,0.4823529411764706,0
2016014577,0,0,0,0,4,0,0,0,0,0,0,0,0,0,10,2,0.2,0
2017040256,0,0,0,0,1,0,0,0,0,0,0,0,0,0,32,17,0.53125,0
2018040507,0,0,0,0,1,0,0,0,0,0,0,0,0,0,62,30,0.4838709677419355,0
