学号,考生姓名,科目名称,性别,专业,年份,编程年份,国家级一等奖,国家级二等奖,国家级三等奖,国家级优秀奖,省部级一等奖,省部级二等奖,省部级三等奖,省部级优秀奖,OJ提交数,OJ正确数,OJ准确率,acRating,cfRating,jskRating,acTimes,cfTimes,ncTimes,jskTimes,all_cf_aftersolve,correct_cf_aftersolve,all_ac_aftersolve,correct_ac_aftersolve,获奖类别
2018040497,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,18,0.45,1073,1580,0,16,27,23,12,16,7,7,4,0
2018050282,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,18,0.45,0,0,0,0,0,0,0,0,0,0,0,0
2019040384,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,18,0.45,270,1125,0,20,16,9,0,2,1,0,0,0
2019040473,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,18,0.45,25,1059,0,4,6,0,0,0,0,0,0,0
2019080160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,18,0.45,690,1427,0,15,26,48,0,2,0,2,2,0
2019040531,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,18,0.45,473,1071,0,13,6,14,0,2,1,1,0,0
2019040431,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,18,0.45,129,1116,0,8,7,6,0,1,0,2,1,0
2019040408,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,18,0.45,376,1197,0,8,21,1,0,1,0,0,0,0
2019040360,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,18,0.45,84,1316,0,6,19,7,0,7,4,0,0,0
2019040430,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,18,0.45,0,1383,0,0,1,0,0,0,0,0,0,0
2019040377,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,18,0.45,596,1301,0,13,18,16,0,5,4,3,2,0
2019040421,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,18,0.45,0,1198,0,0,8,0,0,0,0,0,0,0
2019040471,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,18,0.45,420,1135,0,15,15,6,0,30,11,2,2,0
2019040474,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,18,0.45,0,1502,0,30,43,80,7,2,1,43,14,0
2019040402,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,18,0.45,0,0,0,0,0,0,0,0,0,0,0,0
2018170015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,18,0.45,0,1066,0,0,11,5,0,2,1,0,0,0
2018040410,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,18,0.45,760,1534,0,7,28,16,0,22,9,7,3,0
2018170029,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,18,0.45,328,1501,0,14,34,19,0,41,13,1,0,0
2019040385,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,18,0.45,559,1394,0,22,26,68,16,4,1,64,29,0
2019040450,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,18,0.45,231,868,0,17,9,17,0,1,1,0,0,0
2018040451,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,18,0.45,495,1541,0,7,20,23,0,0,0,0,0,0
2019040255,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,18,0.45,0,1300,0,0,7,4,0,5,2,0,0,0
2018040364,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,18,0.45,0,1225,0,0,4,0,0,0,0,0,0,0
2018040362,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,18,0.45,0,0,0,0,0,0,0,0,0,0,0,0
2018040415,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,18,0.45,0,1446,0,0,24,7,0,11,2,0,0,0
2018040359,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,18,0.45,0,0,0,0,0,0,0,0,0,0,0,0
2019040410,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,18,0.45,343,1215,0,15,16,42,5,18,12,40,16,0
2017050336,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,18,0.45,0,1389,0,0,1,0,0,0,0,0,0,0
2018170010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,18,0.45,0,1423,0,0,1,2,0,0,0,0,0,0
2018100048,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,18,0.45,0,0,0,0,0,0,0,0,0,0,0,0
2018040417,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,18,0.45,696,1520,0,8,25,9,2,3,2,2,0,0
2019040452,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,18,0.45,579,1240,0,19,12,16,2,18,11,11,5,0
2017040267,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,18,0.45,0,1420,0,0,13,0,0,2,0,0,0,0
2019040425,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,18,0.45,125,1373,0,4,20,16,0,19,6,7,2,0
2019040427,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,18,0.45,473,1301,0,10,13,15,0,0,0,6,2,0
2018170035,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,18,0.45,0,0,0,0,0,0,0,0,0,0,0,0
2018170037,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1318,658,0.4992412746585736,0,0,0,0,0,0,0,0,0,0,0,0
2017100014,0,0,0,0,2,0,0,0,0,0,0,0,0,0,40,10,0.25,0,0,0,0,0,0,0,0,0,0,0,0
2018040450,0,0,0,0,2,0,0,0,0,0,0,0,0,0,121,52,0.4297520661157025,892,1716,0,11,34,40,10,29,17,11,6,0
2018040498,0,0,0,0,1,0,0,0,0,0,0,0,0,0,87,42,0.4827586206896552,122,1190,0,4,20,3,0,9,3,0,0,0
2018040511,0,0,0,0,2,0,0,0,0,0,0,0,0,0,209,104,0.4976076555023923,192,1110,0,5,18,1,0,0,0,0,0,0
2018040535,0,0,0,0,1,0,0,0,0,0,0,0,0,0,23,12,0.5217391304347826,0,0,0,0,0,0,0,0,0,0,0,0
2019040472,0,0,0,0,1,0,0,0,0,0,0,0,0,0,11,3,0.2727272727272727,475,1198,0,17,17,8,0,37,14,4,2,0
2019040454,0,0,0,0,1,0,0,0,0,0,0,0,0,0,5,1,0.2,424,1200,0,16,15,10,0,28,10,6,6,0
2018040461,0,0,0,0,1,0,0,0,0,0,0,0,0,0,73,33,0.4520547945205479,141,1432,0,3,20,34,0,10,4,2,1,0
2017040385,0,0,0,0,3,0,0,0,0,0,0,0,0,0,106,54,0.5094339622641509,191,1719,0,2,62,37,9,128,54,26,2,0
2018040358,0,0,0,0,1,0,0,0,0,0,0,0,0,0,57,16,0.2807017543859649,916,1680,0,14,16,0,4,28,9,20,7,0
2019040500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,3,0.42857142857142855,388,1327,0,9,26,17,1,4,3,2,2,0
2018040530,0,0,0,0,1,0,0,0,0,0,0,0,0,0,17,7,0.4117647058823529,786,1480,0,9,48,31,9,61,27,11,1,0
